"CourseMajor";"CourseID";"ID";"CourseName";"CreditHour";"LectureHour";"LabHour";"Attribute";"GradeMode";"Prerequisite";"Corequisite"
"ANTH";"ANTH 3308";"3308";"Cultural Resource Management and Archaeology";3;3;0;"";"1";"";""
"ANTH";"ANTH 3309";"3309";"Cultures Through Film";3;3;0;"022";"1";"";""
"ANTH";"ANTH 3311";"3311";"Disease and Society";3;3;0;"";"1";"";""
"ANTH";"ANTH 3313";"3313";"Aztec: Native Americans and Empire";3;3;0;"044";"1";"";""
"ANTH";"ANTH 3314";"3314";"Latin American Cultures";3;3;0;"022 044";"1";"";""
"ANTH";"ANTH 3315";"3315";"Archaeology of the Southwest";3;3;0;"022";"1";"";""
"ANTH";"ANTH 3316";"3316";"The Origin and Evolution of Human Behavior";3;3;9;"022 044";"1";"";""
"ANTH";"ANTH 3317";"3317";"Rock Art Field Methods";3;3;0;"";"1";"";""
"ANTH";"ANTH 3318";"3318";"Texas Archaeology";3;3;0;"022 044";"1";"";""
"ANTH";"ANTH 3322";"3322";"Peoples and Cultures of Africa";3;3;0;"022";"1";"";""
"ANTH";"ANTH 3324";"3324";"Mexican American Culture";3;3;0;"022";"1";"";""
"ANTH";"ANTH 3325";"3325";"Medical Anthropology";3;3;0;"";"1";"";""
"ANTH";"ANTH 3330";"3330";"Anthropology of Religion and Fundamentalism";3;3;0;"";"1";"";""
"ANTH";"ANTH 3331B";"3331B";"Anthropology in Practice";3;3;9;"045";"1";"";""
"ANTH";"ANTH 3331D";"3331D";"Dental Anthropology and Oral Biology";3;3;0;"045";"1";"ANTH 2301 or [BIO 1130 and BIO 1330] ";""
"ANTH";"ANTH 3331E";"3331E";"Anthropology and the Law";3;3;0;"045";"1";"";""
"ANTH";"ANTH 3331F";"3331F";"Nonverbal Communication-Gestures";3;3;0;"045";"1";"";""
"ANTH";"ANTH 3331G";"3331G";"The Archaeology of Cannibalism and Sacrifice";3;3;0;"044 045";"1";"";""
"ANTH";"ANTH 3331I ";"3331I";"Design + Anthropology";3;3;0;"045";"1";"";""
"ANTH";"ANTH 3331J";"3331J";"Race and Biological Anthropology";3;3;0;"044 045";"1";"";""
"ANTH";"ANTH 3331L";"3331L";"Innovation, the Future & Society";3;3;0;"045";"1";"";""
"ANTH";"ANTH 3332";"3332";"Myths and Moundbuilders";3;3;0;"022 044";"1";"";""
